Question,Category
What would be the result if Rahul Gandhi wins 2019 elections,3
what would result if chromosomes don't replicate?,3
Rewrite the markov matrix to account for this slight change.,2
Describe the Pareto Principle in statistical software quality assurance.,2
"Classify the following substances as particle, atom, element, molecule, compound",2
Write a list of criteria to judge the Willy raps.,5
Operate the given scenario to get expeected output,2
How would you feel if someone close to you goes on a long journey?,5
Use Laplace to solve the following problems,3
Select an action of a main character that was exactly the same as something the student would have done,4
Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,3
Construct an analog circuit with the following specifications,3
How do psychologists differ in their general attitudes toward third party presence,4
What is a textual index,1
Differentiate the following functions using the quotient rule,4
Label any Olympic sporting apparatus with design features.,1
Construct an array of size 6 with double data type,2
Make a diagnosis or analyze a case study.,4
"Select parts of the story that were the funniest, saddest, happiest, and most unbelievable",4
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,6
decide about the most exciting part of the book. being sure to give at least three reasons why?,5
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,5
Which technology is used by laser printer,1
How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,4
Summarize the main point of these two texts in your own words ,2
Make up a puzzle game using the ideas from the study area.,3
how do we devise a way to enforce the laws,6
How does your pet differ from other animals?,4
Compose music for a frog play.,6
Would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,2
Compose and perform a dialogue or monologue that will communicate the thoughts of the main character(s) at a given point in the story,6
How does Hawaii contrast and compare to Florida?,4
How could we determine the number of pennies in a jar without counting them?,6
Take a collection of photographs to demonstrate a particular point.,3
Create an equation to represent the solution to this problem.,6
"improved, reformed or rejected?",5
Propose a new mechanism to fight against Global Warming,6
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,5
Show how they have used creative writing strategies appropriate to the format,3
Place the following in order of priority...,5
when did saudi arabia start using internet,1
Can you distinguish pot still rums from column still rums by taste,4
"Analyze the problem, identifying its variables.",4
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,3
Who is the first president of USA,1
Describe in prose what is shown in graph form.,2
Design costumes for the characters.,6
can you devise an explicit formula for,6
" Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",2
Invent new algorithm for Facebook,6
Investigate whether or not the system can be solved for x; y; z ,4
Design a machine to perform a specific task.,6
State the rule for balls and strikes in baseball.,1
Evaluate whether their model is a true representation of the local environment.,5
How would you change the story to create a different ending?,6
Differentiate between the following terms along with appropriate examples,4
How does autonomy differ with age,4
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,5
Calculate the deflection of a beam under uniform loading.,3
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,2
State the usage of throw keyword,1
Verify Pythagoras Theorem,5
Compare historical events to contemporary situations,2
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,2
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,6
Make a list of facts you learned from the story.,1
Advertise the symptoms of Hepatitis B,4
Construct one Turing Machine for computing each of the following functions,3
Revise how to complete a complex task in order to improve the outcome.,6
Calculate for x in the following equation: 12x=36,3
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,3
Was Hemingway a great American writer? First you will need to define greatness.,5
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,5
"How do I differentiate between ""deceive"" and ""cheat on""?",4
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,3
Appraise the speech's effectiveness based upon the class' criteria.,5
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",5
When did the second world war happen ,1
What would you do if a heavy growth of bacteria had occurred ,3
How does your agency inspect against its expectation for operators ,4
Plan a new Surgical Strike,6
Make a radio announcement that advertise the book. Write it out.,6
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater. ,3
How many ways can you kill a person?,6
Label the parts of the following insects: Grasshopper,1
 How do you construct foliations on a given manifold M?,3
Can you design a neural network to implement automatic question paper generator?,6
Name the four major food groups.,1
Illustrate what you think the main idea was.,2
Develop one plausible ending for all three short stories below.,6
Make a scrapbook about the areas of study.,3
Compose a simple rap or rhyme about zoo animals.,6
Create a new product. Give it a name and plan a marketing campaign.,6
Break down the main actions of the story.,4
What factors would you change if you become next prime minister?,3
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",5
Retell the story in your words.,2
What are types of data?,1
Recite the principles of the Data Protection Act.,1
Examine the code snippet,2
Compute the area of actual circles.,3
Can you explain what must have happened when Sunita removed her makeup?,4
Compare ACL and CL on basic of different parameters,3
Can you distinguish aged rums from unaged rums by smell,4
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",2
Translate an equation into a spreadsheet formula.,2
Would this information be useful if you had a IQ level above 100?,3
Estimate roughly how long the collision process takes,5
How would you decide about your future depending on your past?,5
Prepare the chart of various data types and their range,2
What criteria would you use to assess Student's understanding level?,5
How would you relate position concept with position strategy,3
How much time did he took to build a house,1
Name the food groups and at least two items of food in each group.,1
Recommend how our classroom or playground could be improved.,5
Describe in your own words what happens when a stream's velocity slows.,2
Recall locations of a historical events,1
Summarize a story in own words.,2
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,6
"Identify a property (commutative, additive, etc(",1
Recall the definition of the formula datatype from your assignment 2.,1
Recall the concept of abstract class,1
Evaluate board games and justify why rules are important.,5
Differentiate between .call by value and call by reference.,4
How would you differentiate obstructive apneas from central apneas,4
Design and make an animal that moves.,6
List three characteristics that are unique to the Cubist movement.,1
"Explain the double meaning the author attributes to the term ""successive action descriptions""",2
Examine the data in the EMPLOYEES and DEPARTMENTS tables,4
 What happens if you restrict a determinental process to a subset R  S? ,3
How do we efficiently combine multiple subject graphs to construct an aig with choice,6
Paraphrase an important speech,2
Identify one problem in the book and give an alternate solution one not given by the author.,6
Research nepotism and Separate it from real life scenario,4
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,3
What are the parts or features of Mercedes-Benz GLA 45 AMG?,4
Examine differences between the means of each individual switching factor.,4
Use a sketch too find the exact value of each expression,3
Can you write a new recipe for a tasty dish?,6
How do we construct agents that can deliver. “good” assistance,3
Explain choices made in making recommendations to an end user.,5
Write a short story relating a personal experience in the style of a picaresque novel.,6
State the guidelines to design an anodic protection system,1
Conclude and support which economic system leads to a higher standard of living.,5
when was the UN formed ,1
Which of the following is the method for determining the volume of a cylinder?,1
How would you have handled depression?,5
Paraphrase what Hamlet is saying in his soliloquy.,2
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",4
Given two opposing theories design an experiment to compare them.,6
Explain the causes of historical events,2
How does NIT compare with IIT?,4
How does NIT compare with IIT?,4
"Given an argument on any position, enumerate the logical fallacies in that argument.",5
when was the first airport in the yemen built,1
State the pattern for expressing time in French.,1
Compose a device that would assist an athlete in their training.,6
What is  your family name,1
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",5
Investigate innovations that can enhance future Olympics.,4
Make up a new language code and write material using it.,6
Compare and contrast our school to other communities.,4
Differentiate printf function calls for displaying prompts and for echoing data.,4
Which of the following item does not belong to the set ?,1
Develop a plan for a new Olympic Bid System.,6
Distinguish between the following giving suitable examples,4
In one sentence explain the main idea of a written passage.,2
How do you analyze a marginally RCT ,4
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,5
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,2
Use a costing model to compute prices on goods to maximise profits and minimise costs.,3
Describe the output of this program fragment:,2
"Draw 3 pictures showing the beginning, middle and ending of the story.",3
Distinguish facts from hypotheses,4
List the procedure to draw a mixed potential or Evans' diagram,1
State the definition of application in Bloom's Taxonomy.,1
How do we differentiate between genuine buyer and undercover buyer,4
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,5
How would you classify the geographic location of your school,2
How would you create/design a new lokpal bill?,6
"Can you group by characteristics such as happiness?",3
State in your own words the rule for balls and strikes in baseball.,2
"Combine elements of drama, music, and dance into a stage presentation.",6
What solutions would you suggest for controlling overpopulation ?,6
who is the founder of the kingdom of saudi Arabia,1
Summarize a historical document,2
Explain the communicative property.,2
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",5
Illustrate the differences between the American alligator and the Nile crocodile,3
Break down the components of a standard film camera and explain how they interact to make the machine work.,4
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,3
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,4
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,5
How many years does this animal live?,1
Tell me the biggest country in the world,1
Develop a SQA Plan for a software development project which is defined in the attached document.,6
Create a story from just the title before the story is read (pre-story exercise),5
Restructure the roles of the main characters to create new outcomes in the story.,6
Recite the the Gaussian law,1
What are the major products and exports of countries,1
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",4
Compare and contrast the beliefs of W.E.B. DuBois and Booker T. Washington,3
Write a set of rules to prevent what happened in the story.,6
Combine any two sports to develop a new Olympic sport.,6
Draw a painting that uses various principles of perspective to achieve its effect.,6
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",5
Describe 4 types of coupling in software design.,2
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",4
Apply the storytelling technique here to a little story of your own.,3
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",4
when did the first saudi radio station open,1
"Can you distinguish between grizzy bear,polar bear and panda?",4
Create an original character and tell how the character would fit into the story,5
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,6
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",5
Compose an original work which incorporates five common materials in sculpture.,6
Assess the appropriateness of an author's conclusions based on the evidence given,5
Find the errors in the following math problem,5 
Compare and contrast two characters in the book.,4
 Outline your experience in working with service users,2
What is the purpose of new keyword,1
State in your own words what the author means when he says,2
Can you develop a proposal which would pass law against alcohol consumption?,6
Create a poster to advertise the story so people will want to read it,6
Name 5 steps that follow the taking of notes (within 24 hours or less)?,1
 How do we differentiate between an interview and an interrogation?,4
Compare Calliope with Howie. Use the word bank.,2
Use Gauss’ Law to find the electric field between the plates when the charge on them is Q,3
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,5
Identify the part of a eukaryotic cell.,1
Solve given problem using appropriate algorithm,2
Can you differentiate between ethnic Chinese and ethnic Koreans,4
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",6
Create a poster to advertise the story so people will want to read it,5
Create a new product related to the story,6
Compare two of the characters in this book.,4
Make a paper-mache map to include relevant information about an event.,3
Define four types of traceability.,1
Can you solve the following problem ,3
Explain the whole method of crushing,2
Define the meaning of the Olympic Motto.,1
How effective are facebook ads?,5
Select the best proposal for a proposed water treatment plant.,5
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,3

